,TOKEN,Sum,Average,Min,Max,Count
0,EFT,1.3768435536131527,0.22947392560219212,-0.25,0.96709028604651,6.0
1,BCI,25.663753435178258,0.7332500981479502,-0.25,18.352910962395747,35.0
2,IQG,0.12976636541027298,0.04325545513675766,-0.25,0.25,3.0
3,MATATA,0.6503331209096166,0.1083888534849361,-0.25,0.38857925582404484,6.0
4,BMCC,0.5191189195272061,0.030536407031012125,-0.25,0.7137542176719809,17.0
5,PANDAVS,-0.17521509083171505,-0.03504301816634301,-0.25,0.32478490916828495,5.0
6,FTD,-0.25,-0.25,-0.25,-0.25,1.0
7,ARC,-0.25,-0.25,-0.25,-0.25,1.0
8,CJP,0.0,0.0,-0.25,0.25,2.0
9,FADO,-0.5,-0.16666666666666666,-0.25,0.0,3.0
10,ESC,2.359642726556582,0.4719285453113164,0.25,1.2131957089223728,5.0
11,BBL,1.0394536324229433,0.20789072648458867,-0.25,0.7867043169219841,5.0
12,FLOKI,3.4144608191362193,0.37938453545957995,-0.25,4.19352166394852,9.0
13,INCOME,0.2518638060480922,0.05037276120961844,-0.25,0.7518638060480922,5.0
14,KINO,0.2858256804758881,0.021986590805837543,-0.25,0.38627985931383224,13.0
15,REV,0.6414843840834764,0.10691406401391274,-0.25,0.6384865461414786,6.0
16,MVRS,3.80820090254196,0.2380125564088725,-0.25,0.8869921241094902,16.0
17,BTT,0.2966642921722935,0.07416607304307338,-0.25,0.5466642921722935,4.0
18,PRED,2.6295243242971247,0.06115172847202616,-0.25,0.9365492470035941,43.0
19,ALTS,-0.25,-0.25,-0.25,-0.25,1.0
20,LZP,0.2500458258391808,0.1250229129195904,4.582583918077976e-05,0.25,2.0
21,PET,-3.75,-0.25,-0.25,-0.25,15.0
22,$ROSS,2.252061680689306,1.126030840344653,0.25,2.002061680689306,2.0
23,BBCLIFF,0.8097711780289726,0.10122139725362157,-0.25,1.0521008917141794,8.0
24,METAB,1.0740148227295063,0.15343068896135806,-0.25,0.9170499325672343,7.0
25,MM,-0.5,-0.25,-0.25,-0.25,2.0
26,SUPERPIXEL,-0.4117971464959881,-0.05147464331199851,-0.25,0.25,8.0
27,FirstHare,5.759881851108928,0.11999753856476934,-0.25,1.891998368772967,48.0
28,NPTUN,6.341658334172438,0.3019837301986875,-0.25,1.5597259952437432,21.0
29,XL,-0.30146082652258066,-0.02318929434789082,-0.25,0.7885678864752661,13.0
30,ZD,-0.25,-0.25,-0.25,-0.25,1.0
31,SQUIDKING,2.6952132286564865,0.08984044095521622,-0.25,1.3352378086337335,30.0
32,FLOKINY,4.916955779422378,0.13289069674114534,-0.25,0.9811471265482259,37.0
33,CALCIFIRE,-0.9515043941999347,-0.13592919917141924,-0.25,0.25,7.0
34,GAINZ,0.04281934290142053,0.008563868580284106,-0.25,0.5428193429014205,5.0
