,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,252,2021-12-14 09:59:00,3.3431540690073934e-08,252,2021-12-14 09:59:00,0.5,1.5
1,252,2021-12-14 09:59:00,3.3431540690073934e-08,253,2021-12-14 10:00:00,0.5,4.7171093337528625
2,255,2021-12-14 10:02:00,4.194796283343473e-07,255,2021-12-14 10:02:00,1.0,0.75
3,271,2021-12-14 10:18:00,2.3360609560732192e-08,271,2021-12-14 10:18:00,0.5,1.5
4,271,2021-12-14 10:18:00,2.3360609560732192e-08,272,2021-12-14 10:19:00,0.5,0.8491856931168192
5,275,2021-12-14 10:22:00,3.1252351495928794e-08,275,2021-12-14 10:22:00,0.5,1.5
6,275,2021-12-14 10:22:00,3.1252351495928794e-08,276,2021-12-14 10:23:00,0.5,4.52546359622035
7,305,2021-12-14 10:56:00,2.8511915256079513e-09,305,2021-12-14 10:56:00,0.5,1.5
8,305,2021-12-14 10:56:00,2.8511915256079513e-09,306,2021-12-14 10:57:00,0.5,3.894053650481063
9,317,2021-12-14 11:09:00,3.007272096801053e-09,317,2021-12-14 11:09:00,0.5,1.5
10,317,2021-12-14 11:09:00,3.007272096801053e-09,318,2021-12-14 11:10:00,0.5,2.6363534005987046
11,320,2021-12-14 11:12:00,1.927628572084011e-09,320,2021-12-14 11:12:00,0.5,1.5
12,320,2021-12-14 11:12:00,1.927628572084011e-09,321,2021-12-14 11:13:00,0.5,3.612678839010024
13,324,2021-12-14 11:16:00,2.302648465778039e-09,324,2021-12-14 11:16:00,1.0,0.75
14,335,2021-12-14 11:27:00,3.755534332828295e-08,335,2021-12-14 11:27:00,1.0,0.75
15,344,2021-12-14 11:37:00,2.048979523861043e-09,345,2021-12-14 11:38:00,0.5,1.5
16,344,2021-12-14 11:37:00,2.048979523861043e-09,346,2021-12-14 11:39:00,0.5,1.1861786311498035
17,355,2021-12-14 11:48:00,1.7742192344854704e-08,355,2021-12-14 11:48:00,1.0,0.75
18,359,2021-12-14 11:52:00,1.168323729203185e-09,359,2021-12-14 11:52:00,1.0,0.75
19,362,2021-12-14 11:55:00,9.38151321296804e-10,362,2021-12-14 11:55:00,0.5,1.5
20,362,2021-12-14 11:55:00,9.38151321296804e-10,363,2021-12-14 11:56:00,0.5,1.173602475073631
21,396,2021-12-14 12:36:00,4.689457352729622e-09,396,2021-12-14 12:36:00,1.0,0.75
22,402,2021-12-14 12:44:00,1.730917328109199e-08,402,2021-12-14 12:44:00,1.0,0.75
23,588,2021-12-14 20:59:00,5.828388614393471e-08,588,2021-12-14 20:59:00,1.0,0.75
24,592,2021-12-14 21:06:00,9.174926346503329e-09,592,2021-12-14 21:06:00,1.0,0.75
