,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-11-12 04:01:00,1.5043553701198142e-08,4,2021-11-12 04:03:00,1.0,1.0
1,64,2021-11-12 05:03:00,3.0603234539245144e-08,191,2021-11-12 07:10:00,1.0,0.75
2,197,2021-11-12 07:16:00,2.2435637994480462e-08,781,2021-11-12 17:21:00,1.0,0.75
3,1034,2021-11-13 01:53:00,1.5187309446196682e-08,1984,2021-11-14 01:58:00,0.5,1.5
4,1034,2021-11-13 01:53:00,1.5187309446196682e-08,2133,2021-11-14 04:30:00,0.5,1.5047820464708468
5,2149,2021-11-14 04:48:00,2.2659177256005572e-08,3197,2021-11-15 13:06:00,1.0,0.75
6,3239,2021-11-15 14:03:00,1.7718491066748633e-08,3318,2021-11-15 15:28:00,0.5,1.5
7,3239,2021-11-15 14:03:00,1.7718491066748633e-08,4999,2021-11-18 18:54:00,0.5,1.0530641937744234
8,5007,2021-11-18 19:09:00,2.2652941606742114e-09,5015,2021-11-18 19:17:00,0.5,1.5
9,5007,2021-11-18 19:09:00,2.2652941606742114e-09,5035,2021-11-18 19:37:00,0.5,2.4054259615335933
10,5060,2021-11-18 20:02:00,4.596129948505971e-09,5098,2021-11-18 20:40:00,0.5,1.5
11,5060,2021-11-18 20:02:00,4.596129948505971e-09,5118,2021-11-18 21:00:00,0.5,1.5663563491938493
12,5124,2021-11-18 21:06:00,6.4239454833429814e-09,5257,2021-11-18 23:26:00,0.5,1.5
13,5124,2021-11-18 21:06:00,6.4239454833429814e-09,5640,2021-11-19 08:10:00,0.5,1.010862640982019
14,6093,2021-11-20 04:35:00,5.587743161443559e-09,7062,2021-11-22 21:38:00,1.0,0.75
15,8453,2021-12-12 15:59:00,1.2477955928300431e-09,9618,2022-02-02 15:12:00,1.0,0.75
