,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,199,2022-01-18 02:02:00,0.0001667233547338,256,2022-01-18 03:35:00,0.5,1.5
1,199,2022-01-18 02:02:00,0.0001667233547338,320,2022-01-18 08:27:00,0.5,1.0176375214240088
2,378,2022-01-18 11:46:00,0.0002311265424084,411,2022-01-18 12:58:00,1.0,0.75
3,418,2022-01-18 13:05:00,0.0001063552055744,421,2022-01-18 13:08:00,1.0,0.75
4,430,2022-01-18 13:17:00,3.807911868894275e-05,430,2022-01-18 13:17:00,0.5,1.5
5,430,2022-01-18 13:17:00,3.807911868894275e-05,531,2022-01-18 16:00:00,0.5,2.272999346836228
6,768,2022-01-19 01:19:00,6.410474466729501e-05,897,2022-01-19 06:51:00,0.5,1.5
7,768,2022-01-19 01:19:00,6.410474466729501e-05,923,2022-01-19 07:51:00,0.5,1.5411259716248815
8,959,2022-01-19 09:31:00,0.0001083338869943,967,2022-01-19 09:39:00,1.0,0.75
9,1019,2022-01-19 10:37:00,6.294124406751181e-05,1019,2022-01-19 10:37:00,0.5,1.5
10,1019,2022-01-19 10:37:00,6.294124406751181e-05,1021,2022-01-19 10:39:00,0.5,1.76818013822585
11,1025,2022-01-19 10:43:00,8.458297224814031e-05,1025,2022-01-19 10:43:00,0.5,1.5
12,1025,2022-01-19 10:43:00,8.458297224814031e-05,1027,2022-01-19 10:45:00,0.5,1.5220782485322346
13,1050,2022-01-19 11:08:00,0.0001446305966671,1054,2022-01-19 11:12:00,0.5,1.5
14,1050,2022-01-19 11:08:00,0.0001446305966671,1063,2022-01-19 11:21:00,0.5,1.1491755084393416
15,1091,2022-01-19 11:49:00,0.0001877832026735,1098,2022-01-19 11:56:00,1.0,0.75
16,1145,2022-01-19 12:43:00,0.0001254798663207,1243,2022-01-19 14:21:00,0.5,1.5
17,1145,2022-01-19 12:43:00,0.0001254798663207,1287,2022-01-19 15:05:00,0.5,1.0454657539211838
18,1291,2022-01-19 15:09:00,0.000127441117774,1303,2022-01-19 15:21:00,1.0,0.75
19,1341,2022-01-19 16:01:00,0.0001081666933614,1531,2022-01-19 20:16:00,1.0,0.75
20,1584,2022-01-19 21:31:00,8.390312711277736e-05,1678,2022-01-20 00:11:00,1.0,0.75
21,1681,2022-01-20 00:15:00,6.550088455770728e-05,1799,2022-01-20 03:10:00,0.5,1.5
22,1681,2022-01-20 00:15:00,6.550088455770728e-05,2191,2022-01-20 18:23:00,0.5,1.0784683109938367
23,2212,2022-01-20 18:56:00,6.437469646907573e-05,2252,2022-01-20 20:26:00,1.0,0.75
24,2275,2022-01-20 20:50:00,4.5549548144234464e-05,2354,2022-01-20 23:59:00,1.0,0.75
25,2355,2022-01-21 00:00:00,4.943185623876048e-05,2355,2022-01-21 00:00:00,1.0,0.75
26,2360,2022-01-21 00:05:00,3.495030964299979e-05,2845,2022-01-23 18:34:00,0.5,1.5
27,2360,2022-01-21 00:05:00,3.495030964299979e-05,2855,2022-01-23 18:51:00,0.5,1.7181149332933747
28,2951,2022-01-24 15:40:00,3.0180155516122016e-05,3043,2022-01-25 06:13:00,1.0,0.75
29,3053,2022-01-25 08:16:00,2.1393858971732657e-05,3187,2022-01-26 23:36:00,1.0,0.75
30,3251,2022-01-27 19:46:00,1.754139296031717e-05,3320,2022-01-28 14:56:00,1.0,0.75
31,4377,2022-02-10 10:52:00,6.300580935171929e-06,4378,2022-02-10 10:53:00,1.0,0.75
32,4498,2022-02-11 10:30:00,3.1721783244104942e-06,4511,2022-02-11 12:54:00,1.0,0.75
