,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,14,2022-01-15 12:22:00,1.7378018125843353e-14,21,2022-01-15 12:29:00,1.0,0.75
1,40,2022-01-15 12:48:00,1.4525268208286396e-14,45,2022-01-15 12:53:00,1.0,0.75
2,54,2022-01-15 13:02:00,9.03624934410074e-15,54,2022-01-15 13:02:00,1.0,0.75
3,57,2022-01-15 13:05:00,6.768661190691726e-15,71,2022-01-15 13:19:00,1.0,0.75
4,74,2022-01-15 13:22:00,5.139675469219383e-15,76,2022-01-15 13:24:00,0.5,1.5
5,74,2022-01-15 13:22:00,5.139675469219383e-15,151,2022-01-15 14:45:00,0.5,1.7879492157255672
6,556,2022-01-16 13:29:00,4.6020477174600205e-15,574,2022-01-16 13:49:00,0.5,1.5
7,556,2022-01-16 13:29:00,4.6020477174600205e-15,610,2022-01-16 14:26:00,0.5,2.370528371043255
8,616,2022-01-16 14:32:00,8.795480349268332e-15,861,2022-01-17 07:10:00,1.0,0.75
9,1126,2022-01-19 03:14:00,5.154765171557656e-15,1126,2022-01-19 03:14:00,0.5,1.5
10,1126,2022-01-19 03:14:00,5.154765171557656e-15,1213,2022-01-19 05:19:00,0.5,1.2765722814065474
11,1254,2022-01-19 06:21:00,6.9878410656900176e-15,1290,2022-01-19 07:44:00,1.0,0.75
12,1352,2022-01-19 10:07:00,8.262206363381955e-15,1542,2022-01-19 13:21:00,0.5,1.5
13,1352,2022-01-19 10:07:00,8.262206363381955e-15,1567,2022-01-19 13:46:00,0.5,2.218429516593505
14,1573,2022-01-19 13:52:00,1.5911259511345428e-14,1582,2022-01-19 14:01:00,1.0,0.75
15,1678,2022-01-19 15:38:00,1.343474657456832e-14,1748,2022-01-19 17:03:00,1.0,0.75
16,1791,2022-01-19 17:56:00,8.855341494347724e-15,2107,2022-01-20 02:24:00,0.5,1.5
17,1791,2022-01-19 17:56:00,8.855341494347724e-15,2511,2022-01-20 11:32:00,0.5,2.0669666551726227
18,2546,2022-01-20 12:08:00,1.958908024146765e-14,2621,2022-01-20 13:32:00,1.0,0.75
19,2760,2022-01-20 16:37:00,1.94629006479494e-14,3148,2022-01-21 03:30:00,1.0,0.75
20,5049,2022-02-07 03:40:00,1.1474948262184248e-14,5062,2022-02-07 03:53:00,0.5,1.5
21,5049,2022-02-07 03:40:00,1.1474948262184248e-14,5104,2022-02-07 04:35:00,0.5,3.155797023521228
22,5111,2022-02-07 04:42:00,2.6387689548395753e-14,5506,2022-02-07 12:41:00,1.0,0.75
23,5815,2022-02-07 20:38:00,3.0418241884823536e-14,6087,2022-02-08 07:40:00,1.0,0.75
