,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-20 17:09:00,11740.613835566593,21,1.1641418062440736e-05,1.1590031255498204e-05,1.1596598671771315e-05,1.1641418062440736e-05,70.37432772827147
1,2021-12-20 17:10:00,10139.423655774322,14,1.1669423916758001e-05,1.1641626489182962e-05,1.1642024694501968e-05,1.1669423916758001e-05,60.99177207836914
2,2021-12-20 17:11:00,8405.799349777531,13,1.1691128036907029e-05,1.1672072120059317e-05,1.1672072120059317e-05,1.1691128036907029e-05,50.671064070556646
3,2021-12-20 17:12:00,1811.442911719158,7,1.1694258996137623e-05,1.1691235477251348e-05,1.1691235477251348e-05,1.1694258996137623e-05,10.930145815673828
4,2021-12-20 17:13:00,6581.793604086361,6,1.1706912947676356e-05,1.1694613943859356e-05,1.1695368637458504e-05,1.1706912947676356e-05,39.740918254882814
5,2021-12-20 17:24:00,3484.939087546483,1,1.1645238507732298e-05,1.1645238507732298e-05,1.1645238507732298e-05,1.1645238507732298e-05,20.94223723162078
6,2021-12-20 17:44:00,146301.37923760465,10,1.1640150009328222e-05,1.1375890862017605e-05,1.143023731965127e-05,1.1375890862017605e-05,868.7636725533198
7,2021-12-20 17:53:00,1692.472141197842,1,1.1432731182767138e-05,1.1432731182767138e-05,1.1432731182767138e-05,1.1432731182767138e-05,9.985067759368713
8,2021-12-20 18:02:00,874.5035318108644,1,1.1435059592375412e-05,1.1435059592375412e-05,1.1435059592375412e-05,1.1435059592375412e-05,5.151033325195312
9,2021-12-20 18:23:00,874.5035318108644,1,1.1372256864727997e-05,1.1372256864727997e-05,1.1372256864727997e-05,1.1372256864727997e-05,5.122743228374068
10,2021-12-20 20:15:00,1970894.4226000295,3,1.5706102805953683e-05,1.1490780821711631e-05,1.5706102805953683e-05,1.5706102805953683e-05,13703.067272587392
11,2021-12-20 20:16:00,1791757.8168781241,1,1.3394667389712572e-05,1.3394667389712572e-05,1.3394667389712572e-05,1.3394667389712572e-05,12322.5908203125
12,2021-12-20 20:19:00,1895281.895466542,3,1.5641209910458076e-05,1.1608057240773302e-05,1.5641209910458076e-05,1.5641209910458076e-05,13218.555296502282
13,2021-12-20 20:55:00,862.9169248449132,1,1.5555054370539916e-05,1.5555054370539916e-05,1.5555054370539916e-05,1.5555054370539916e-05,6.891778431337335
14,2021-12-20 21:15:00,1628845.0121673273,3,2.120408532348674e-05,1.570922475917687e-05,2.120408532348674e-05,2.120408532348674e-05,15661.19250748785
15,2021-12-20 21:17:00,3056197.5866432097,4,2.1127624951963043e-05,1.5829953807113925e-05,1.8180993691950083e-05,2.1127624951963043e-05,29248.05086624352
16,2021-12-20 21:18:00,1427071.1207989021,1,1.8219134015860888e-05,1.8219134015860888e-05,1.8219134015860888e-05,1.8219134015860888e-05,13589.425903320312
17,2021-12-20 21:32:00,1606563.9170711325,3,2.148290766747963e-05,1.5953648965488608e-05,1.865543205815233e-05,2.148290766747963e-05,15668.49536569922
18,2021-12-20 21:33:00,1464095.6760652976,1,1.844141775799891e-05,1.844141775799891e-05,1.844141775799891e-05,1.844141775799891e-05,14112.096130371094
19,2021-12-20 21:35:00,1581895.6256926132,3,2.1556693826720234e-05,1.6075209879632653e-05,2.1556693826720234e-05,2.1556693826720234e-05,15512.761732107403
20,2021-12-20 21:36:00,2822605.5994443125,4,2.09822638497493e-05,1.6074750393600778e-05,1.8511143840308445e-05,2.09822638497493e-05,27240.68741917782
21,2021-12-20 21:37:00,1365455.7525580155,1,1.8308905252451818e-05,1.8308905252451818e-05,1.8308905252451818e-05,1.8308905252451818e-05,13066.755676269531
22,2021-12-20 22:11:00,1388807.0244263774,3,2.10724292044385e-05,1.606153200085065e-05,2.10724292044385e-05,2.10724292044385e-05,13388.76166859652
23,2021-12-20 22:12:00,1297197.0380099218,1,1.850142984971604e-05,1.850142984971604e-05,1.850142984971604e-05,1.850142984971604e-05,12542.64697265625
24,2021-12-20 22:13:00,2476978.9367698315,4,2.1069116184223644e-05,1.6325893325514907e-05,2.1069116184223644e-05,1.8699603460934247e-05,24139.116622318143
25,2021-12-20 22:14:00,1952031.213151133,6,2.1146744541235343e-05,1.669221617453008e-05,1.669221617453008e-05,1.9434461086671188e-05,19435.04884416284
26,2021-12-20 22:15:00,55.44094572578344,1,1.80372103489378e-05,1.80372103489378e-05,1.80372103489378e-05,1.80372103489378e-05,0.5226102905273438
27,2021-12-20 22:51:00,4292.299206812878,1,1.7939619335006073e-05,1.7939619335006073e-05,1.7939619335006073e-05,1.7939619335006073e-05,40.242149347305904
28,2021-12-20 22:52:00,331210.1021853861,3,1.9144478606656983e-05,1.8030212803279642e-05,1.9144478606656983e-05,1.9144478606656983e-05,3225.1140431767553
29,2021-12-20 23:10:00,18063.997286392147,1,1.910021524216765e-05,1.910021524216765e-05,1.910021524216765e-05,1.910021524216765e-05,180.04030857266773
30,2021-12-21 01:30:00,521.8754692363312,1,1.916165941777865e-05,1.916165941777865e-05,1.916165941777865e-05,1.916165941777865e-05,5.2248168945312505
31,2021-12-21 01:31:00,521.8754692363312,1,1.9065975971852253e-05,1.9065975971852253e-05,1.9065975971852253e-05,1.9065975971852253e-05,5.198726853272121
32,2021-12-21 11:33:00,1692.472141197842,1,1.906167026171141e-05,1.906167026171141e-05,1.906167026171141e-05,1.906167026171141e-05,17.149317455077625
33,2021-12-21 11:36:00,99.6966867467771,1,1.9048627225235595e-05,1.9048627225235595e-05,1.9048627225235595e-05,1.9048627225235595e-05,1.009505679805274
