,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-27 15:01:00,280938.76821959217,2,1.0231205038147023e-07,2.1883624209449475e-08,1.0231205038147023e-07,2.1883624209449475e-08,5.587683784218584
1,2021-12-27 15:02:00,276613.6031922722,2,4.543380755141323e-07,8.591150986262708e-08,4.543380755141323e-07,4.543380755141323e-07,22.12521475784306
2,2021-12-27 15:04:00,2210328.6179706347,57,0.00024238445573223933,5.588081642056213e-09,1.3385238372153518e-07,5.588081642056213e-09,277.8167404754445
3,2021-12-27 15:31:00,1.0,1,3.239860314e-09,3.239860314e-09,3.239860314e-09,3.239860314e-09,1.7962304464694415e-06
4,2021-12-29 04:28:00,49629.94511055786,3,2.510646890330224e-06,3.968994425365263e-09,2.510646890330224e-06,2.510646890330224e-06,21.29101951894553
5,2021-12-29 04:29:00,27651.620906640375,1,2.014868168724048e-08,2.014868168724048e-08,2.014868168724048e-08,2.014868168724048e-08,0.30047215152425316
6,2021-12-29 05:18:00,218.05552820833248,1,4.585987836293651e-09,4.585987836293651e-09,4.585987836293651e-09,4.585987836293651e-09,0.0005374317626953125
7,2021-12-29 05:27:00,140186.5495486461,7,3.934352022384397e-07,5.746955416389154e-09,3.90990113436256e-07,3.768227145633463e-08,20.77587259700869
8,2021-12-29 05:30:00,194113.9243946596,1,4.6437956432052185e-08,4.6437956432052185e-08,4.6437956432052185e-08,4.6437956432052185e-08,4.844546397198692
9,2021-12-29 05:34:00,8888.0,1,9.389079044228397e-09,9.389079044228397e-09,9.389079044228397e-09,9.389079044228397e-09,0.04484875290573516
10,2021-12-29 14:03:00,2000373.364466983,1,8.458933175805088e-09,8.458933175805088e-09,8.458933175805088e-09,8.458933175805088e-09,8.91364131887321
11,2021-12-29 19:39:00,1000000.0,1,7.91838513704052e-09,7.91838513704052e-09,7.91838513704052e-09,7.91838513704052e-09,4.148460532010692
12,2021-12-29 20:14:00,886443.5111409368,1,7.939075039080742e-09,7.939075039080742e-09,7.939075039080742e-09,7.939075039080742e-09,3.664852167217466
13,2021-12-29 21:57:00,999999.0,1,8.0415183100253e-09,8.0415183100253e-09,8.0415183100253e-09,8.0415183100253e-09,4.200043413150718
14,2021-12-29 21:58:00,12815736.295871815,8,9.353312008844782e-09,7.525173055520525e-09,9.23664932000204e-09,8.37007727797667e-09,58.897158095255776
15,2021-12-29 22:07:00,9407019.965623101,3,7.2683975484826235e-09,5.384639143481256e-09,7.2683975484826235e-09,5.90354441966257e-09,29.66656004922462
16,2021-12-30 04:30:00,37623380.29814479,9,2.7640649682777946e-08,8.426852960283768e-09,8.426852960283768e-09,9.87736323147564e-09,390.4668236374976
17,2021-12-30 04:31:00,37611757.32288465,8,2.683573716596059e-08,9.422104907691978e-09,2.6677031081874077e-08,9.422104907691978e-09,454.5350256534598
18,2021-12-30 04:32:00,18289407.63504664,2,6.3107924796990086e-09,6.300974467549287e-09,6.300974467549287e-09,6.300974467549287e-09,59.44907469976884
19,2021-12-30 04:34:00,205786.6037911024,1,1.0981142968168707e-08,1.0981142968168707e-08,1.0981142968168707e-08,1.0981142968168707e-08,1.1648365294231462
20,2021-12-30 04:35:00,432670.81103613385,1,1.155612967749385e-08,1.155612967749385e-08,1.155612967749385e-08,1.155612967749385e-08,2.5773318481445315
21,2021-12-30 04:44:00,782084.2503003138,1,1.2786346223133996e-08,1.2786346223133996e-08,1.2786346223133996e-08,1.2786346223133996e-08,5.154663696289063
22,2021-12-30 04:46:00,1665892.8537185106,3,1.2804740468203428e-08,1.2035921385356262e-08,1.2579178156615886e-08,1.2804740468203428e-08,10.749278343853046
23,2021-12-30 04:48:00,7277973.0165691,2,1.9267989672999395e-08,1.918197906742318e-08,1.918197906742318e-08,1.918197906742318e-08,72.12322963036499
24,2021-12-30 04:49:00,5703332.127203947,2,1.7533609786289072e-08,1.746089068459131e-08,1.746089068459131e-08,1.746089068459131e-08,51.43974439538256
25,2021-12-30 04:52:00,532676.5173321912,1,1.3884442324811042e-08,1.3884442324811042e-08,1.3884442324811042e-08,1.3884442324811042e-08,3.812346167859022
26,2021-12-30 04:53:00,1378687.0810795983,2,1.3426518603270504e-08,1.1942583181633572e-08,1.3426518603270504e-08,1.1942583181633572e-08,9.154573344376377
27,2021-12-30 04:54:00,265447.60970111797,2,1.192430491813641e-08,1.1669964175458003e-08,1.1669964175458003e-08,1.192430491813641e-08,1.6099036222910517
28,2021-12-30 04:56:00,487742.00389221346,1,1.252301411659803e-08,1.252301411659803e-08,1.252301411659803e-08,1.252301411659803e-08,3.1484685856933594
29,2021-12-30 04:57:00,1676759.4179857397,2,1.3840022422287198e-08,1.3395065366931181e-08,1.3840022422287198e-08,1.3395065366931181e-08,11.731652320151635
30,2021-12-30 04:59:00,90000.0,1,1.2432047383035844e-08,1.2432047383035844e-08,1.2432047383035844e-08,1.2432047383035844e-08,0.5767472098429227
31,2021-12-30 05:02:00,2949782.728982938,2,1.0760001264032081e-08,1.010059505322518e-08,1.0760001264032081e-08,1.010059505322518e-08,16.060929078129767
32,2021-12-30 05:03:00,90812.704484276,1,1.1011675135973377e-08,1.1011675135973377e-08,1.1011675135973377e-08,1.1011675135973377e-08,0.5173355102539062
33,2021-12-30 05:06:00,3869831.7283446994,3,1.2585785880094687e-08,1.125038797480851e-08,1.2309664924110298e-08,1.125038797480851e-08,24.518646805950183
34,2021-12-30 05:09:00,176275.75049636056,1,1.1595687646213823e-08,1.1595687646213823e-08,1.1595687646213823e-08,1.1595687646213823e-08,1.0574537222892808
35,2021-12-30 05:13:00,1146496.9794810757,2,1.0628578904139745e-08,1.0079476855274495e-08,1.0628578904139745e-08,1.0079476855274495e-08,6.2472469835525715
36,2021-12-30 05:15:00,500000.0,1,1.063386044550597e-08,1.063386044550597e-08,1.063386044550597e-08,1.063386044550597e-08,2.750636809772331
37,2021-12-30 05:18:00,173768.6525624647,1,1.084415922050112e-08,1.084415922050112e-08,1.084415922050112e-08,1.084415922050112e-08,0.9748540689834866
38,2021-12-30 05:21:00,183281.099746675,1,1.0912199909125016e-08,1.0912199909125016e-08,1.0912199909125016e-08,1.0912199909125016e-08,1.0346710205078125
39,2021-12-30 05:23:00,2810020.962918969,2,1.2721640386088871e-08,1.2562682294991232e-08,1.2721640386088871e-08,1.2721640386088871e-08,18.369376212587746
40,2021-12-30 05:31:00,170000.0,1,1.1617343424572711e-08,1.1617343424572711e-08,1.1617343424572711e-08,1.1617343424572711e-08,1.0217109290188517
41,2021-12-30 05:52:00,1157433.1579950056,1,1.0711543263744593e-08,1.0711543263744593e-08,1.0711543263744593e-08,1.0711543263744593e-08,6.413871515288562
42,2021-12-30 06:48:00,6789767.389770569,2,7.724408099010086e-09,7.498668296379606e-09,7.724408099010086e-09,7.724408099010086e-09,26.65747830092761
43,2021-12-30 08:04:00,600000.0,1,8.775015006858964e-09,8.775015006858964e-09,8.775015006858964e-09,8.775015006858964e-09,2.7425892719265126
44,2021-12-30 08:21:00,117307.21386558372,1,8.524624931812364e-09,8.524624931812364e-09,8.524624931812364e-09,8.524624931812364e-09,0.5209087524414062
45,2021-12-30 09:02:00,472735.5995808896,1,8.88445888933173e-09,8.88445888933173e-09,8.88445888933173e-09,8.88445888933173e-09,2.18133193359375
46,2021-12-30 09:13:00,32583.984659485668,1,9.206977081996191e-09,9.206977081996191e-09,9.206977081996191e-09,9.206977081996191e-09,0.155809423828125
