,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-15 20:00:00,269834904206.45224,1,6.670745600142262e-13,6.670745600142262e-13,6.670745600142262e-13,6.670745600142262e-13,89.852958984375
1,2022-01-15 20:01:00,296908214322.5842,1,6.736088472874126e-13,6.736088472874126e-13,6.736088472874126e-13,6.736088472874126e-13,99.83662109375
2,2022-01-15 20:02:00,3827768802061.8203,22,7.145590798445225e-13,6.769617823311629e-13,6.769617823311629e-13,7.145590798445225e-13,1327.8270605468751
3,2022-01-15 20:03:00,5104278054203.591,36,7.740100704951368e-13,7.160931853496702e-13,7.160931853496702e-13,7.70821927671152e-13,1896.895800781251
4,2022-01-15 20:04:00,4779396681077.239,36,8.366625686017396e-13,7.756066061372413e-13,7.796051322890786e-13,8.366625686017396e-13,1921.8549560546883
5,2022-01-15 20:05:00,2456371868333.8164,16,8.718629341240902e-13,8.391512014281993e-13,8.441457733333334e-13,8.718629341240902e-13,1048.2845216423937
6,2022-01-15 20:07:00,649277198689.9934,3,8.8025897138145e-13,8.745705075698288e-13,8.745705075698288e-13,8.8025897138145e-13,284.41647850233886
7,2022-01-15 20:08:00,568014000000.2001,2,8.8882888939266e-13,8.845283687281596e-13,8.845283687281596e-13,8.8882888939266e-13,251.41151184283177
8,2022-01-15 20:09:00,1441054348529.1506,6,9.1165049570289e-13,8.931295142728961e-13,8.931295142728961e-13,9.1165049570289e-13,648.9380371093749
9,2022-01-15 20:10:00,2254228191817.65,10,9.483766241714452e-13,9.151170153413855e-13,9.151170153413855e-13,9.483766241714452e-13,1048.2845214843749
10,2022-01-15 20:11:00,996260180745.175,5,9.670588868716104e-13,9.523535109339707e-13,9.523535109339707e-13,9.670588868716104e-13,476.7198657226562
11,2022-01-15 20:12:00,1086826635411.7524,6,9.715541642156855e-13,9.604777475874753e-13,9.693300332145755e-13,9.715541642156855e-13,524.8407193784728
12,2022-01-15 20:13:00,684140942693.6964,3,9.831074152806625e-13,9.748617668567229e-13,9.748617668567229e-13,9.831074152806625e-13,334.4526806640625
13,2022-01-15 20:14:00,604672188315.9084,3,9.939001099639292e-13,9.876041592727618e-13,9.876041592727618e-13,9.939001099639292e-13,299.04823973110683
14,2022-01-15 20:15:00,2388124888520.444,11,1.0387703181304633e-12,9.984214105224833e-13,9.984214105224833e-13,1.0387703181304633e-12,1213.7454624283073
15,2022-01-15 20:16:00,2617957662501.101,13,1.0904942382954823e-12,1.0416402028510903e-12,1.0416402028510903e-12,1.0904942382954823e-12,1393.641901307711
16,2022-01-15 20:17:00,2662486608163.7524,17,1.1477040318191463e-12,1.0947566856763177e-12,1.0947566856763177e-12,1.1477040318191463e-12,1490.0615698242186
17,2022-01-15 20:18:00,3323492720092.5527,18,1.2256541052536362e-12,1.1511062686145516e-12,1.1511062686145516e-12,1.2256541052536362e-12,1971.7732666015625
18,2022-01-15 20:19:00,3041320779575.844,18,1.304151548254831e-12,1.2301723819288947e-12,1.2346967774469367e-12,1.304151548254831e-12,1923.2914323370996
19,2022-01-15 20:20:00,1380413025674.6526,9,1.343339560780975e-12,1.3093290415150407e-12,1.3093290415150407e-12,1.343339560780975e-12,913.5050830078125
20,2022-01-15 20:21:00,2184618234599.9343,14,1.4072233332630077e-12,1.3475402292657996e-12,1.3475402292657996e-12,1.4072233332630077e-12,1501.1112107487506
21,2022-01-15 20:22:00,1019013719994.9504,7,1.4375015689248942e-12,1.4104487491684749e-12,1.41475287328254e-12,1.4375015689248942e-12,724.5766903686255
22,2022-01-15 20:23:00,1821965892051.0312,18,1.4979242017516177e-12,1.44293673421353e-12,1.44293673421353e-12,1.4957316377622234e-12,1336.3386808194145
23,2022-01-15 20:24:00,3244021661027.7285,29,1.6100953349259534e-12,1.501779664260401e-12,1.501779664260401e-12,1.6100953349259534e-12,2518.019048066386
