,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-20 16:28:00,6921188852.367695,113,1.1912053737142087e-08,1.0240993640563994e-08,1.0240993640563994e-08,1.1912053737142087e-08,36184.71499130278
1,2022-01-20 16:29:00,19479852940.55256,138,2.0369262491280214e-08,1.192499849828658e-08,1.192499849828658e-08,2.0309440736173283e-08,143435.19424966644
2,2022-01-20 16:30:00,12485953194.877493,102,2.738453354397268e-08,2.0414816606761214e-08,2.0896351579601687e-08,2.734543756006125e-08,139861.60940169365
3,2022-01-20 16:31:00,14986062848.917019,78,3.464658189131858e-08,2.6566313066553653e-08,2.7480030947045636e-08,3.305388960448286e-08,220450.56620054963
4,2022-01-20 16:32:00,10319902242.59915,100,3.155540614324734e-08,2.4071828121331934e-08,3.1292525243879756e-08,2.4724939928457098e-08,137632.90531236763
5,2022-01-20 16:33:00,7703705674.995273,53,2.4718573609330992e-08,2.071268932316239e-08,2.404599730695214e-08,2.1034021045931224e-08,80138.12260733783
6,2022-01-20 16:34:00,3906433902.101073,29,2.572811883591277e-08,2.2082116997448932e-08,2.2082116997448932e-08,2.564920048246768e-08,44394.31606359348
7,2022-01-20 16:35:00,1454192788.8507192,27,2.7813160087108746e-08,2.57357357360521e-08,2.5747127739901848e-08,2.7105419246237237e-08,18429.374561335208
8,2022-01-20 16:36:00,1870875857.0621786,33,2.825849976846156e-08,2.6979467404711687e-08,2.7816451467307333e-08,2.707794022258612e-08,24383.598093034543
9,2022-01-20 16:37:00,1443190211.779119,27,2.786686906181767e-08,2.6299381929108933e-08,2.7784757320652686e-08,2.700320649896725e-08,18384.089760684044
10,2022-01-20 16:38:00,3530601805.5330443,18,2.6846153391890854e-08,2.4087924807804578e-08,2.6305628680205518e-08,2.4087924807804578e-08,42432.17070631068
11,2022-01-20 16:39:00,998009119.8017043,14,2.4703015040404025e-08,2.3674071857876488e-08,2.4088614191024784e-08,2.3674071857876488e-08,11247.0661169729
