,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-29 04:00:00,18270663.35424,42,2.1970354788415777e-06,1.8644710003321332e-06,1.8644710003321332e-06,2.184882120027629e-06,20144.194889066766
1,2021-12-29 04:01:00,17842488.361114554,34,2.458541262760742e-06,2.1391448336164755e-06,2.1391448336164755e-06,2.458541262760742e-06,21714.072430201773
2,2021-12-29 04:02:00,6382424.697085098,22,2.665437013048955e-06,2.458621220398146e-06,2.4617500368756617e-06,2.665437013048955e-06,8811.592596343075
3,2021-12-29 04:03:00,2839500.508727131,10,2.7561819664245215e-06,2.671970221919138e-06,2.671970221919138e-06,2.7561819664245215e-06,4158.142330990975
4,2021-12-29 04:04:00,3912458.1403894,10,2.910219408944659e-06,2.782289716924863e-06,2.8019556114378737e-06,2.910219408944659e-06,5990.653406253199
5,2021-12-29 04:05:00,3663318.008499807,8,3.063246132713641e-06,2.9162168319444603e-06,2.9162168319444603e-06,3.062236158098896e-06,5903.453703762321
6,2021-12-29 04:06:00,1560488.482565197,4,3.1310423743668304e-06,3.089554905035884e-06,3.089554905035884e-06,3.1310423743668304e-06,2606.712134775904
7,2021-12-29 04:07:00,477732.956937472,7,3.149425475866348e-06,3.132372382751844e-06,3.132372382751844e-06,3.149425475866348e-06,809.4593601154984
8,2021-12-29 04:08:00,76755.529919441,3,3.1550034501746013e-06,3.152931543696616e-06,3.152931543696616e-06,3.1550034501746013e-06,130.55966863728213
9,2021-12-29 04:09:00,246338.632,2,3.1626711304125956e-06,3.1571985209866208e-06,3.1571985209866208e-06,3.1626711304125956e-06,419.9699548063479
10,2021-12-29 04:10:00,755468.610064754,5,3.193425855379013e-06,3.173694668431025e-06,3.173694668431025e-06,3.193425855379013e-06,1297.0906105667113
11,2021-12-29 04:11:00,256236.348259972,5,3.2122233759354277e-06,3.202290069614604e-06,3.202290069614604e-06,3.2122233759354277e-06,443.0979724218432
12,2021-12-29 04:12:00,152277.990908845,2,3.21636677037377e-06,3.2128964832671756e-06,3.2128964832671756e-06,3.21636677037377e-06,264.09111951446533
13,2021-12-29 04:13:00,9700622.758259058,10,3.177196673553068e-06,2.8264837791028888e-06,3.177196673553068e-06,2.9108308834465956e-06,15680.697747414022
14,2021-12-29 04:14:00,23733484.384570513,41,2.7831486943161177e-06,2.0968773582569813e-06,2.7408030382448254e-06,2.0968773582569813e-06,31020.987625244856
