,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-18 23:05:00,4669881694.9129,10,1.0982383510546344e-11,1.0075062656642041e-11,1.0075062656642041e-11,1.0982383510546344e-11,26.331452191717187
1,2021-12-18 23:06:00,2397860580.3658,5,1.1547754076397082e-11,1.1085071899179572e-11,1.1190601308911235e-11,1.1547754076397082e-11,14.55009570461507
2,2021-12-18 23:07:00,1340263350.0948,3,1.1887681276949061e-11,1.1663842377405413e-11,1.1663842377405413e-11,1.1887681276949061e-11,8.464990623182008
3,2021-12-18 23:08:00,581917165.7545,2,1.2084240989406674e-11,1.2007328605923437e-11,1.2007328605923437e-11,1.2084240989406674e-11,3.7530681152343752
4,2021-12-18 23:09:00,2375960587.9832,6,1.2753555351748048e-11,1.2172198419799629e-11,1.2172198419799629e-11,1.2670689681923069e-11,15.835736301008454
5,2021-12-18 23:10:00,4511388031.7346,10,1.408860504222883e-11,1.2837283245362205e-11,1.2837283245362205e-11,1.408860504222883e-11,32.53328804704519
6,2021-12-18 23:11:00,1356073497.6236,4,1.4556580321393766e-11,1.4253387588482087e-11,1.4253387588482087e-11,1.4556580321393766e-11,10.47330822202133
7,2021-12-18 23:12:00,9642829523.4506,18,1.8732464408726168e-11,1.4666202329502315e-11,1.4712508970386492e-11,1.8732464408726168e-11,85.69081138961899
8,2021-12-18 23:13:00,2708778576.0717,4,2.0108415967458462e-11,1.8829504339986838e-11,1.8829504339986838e-11,2.0108415967458462e-11,28.29938587075324
9,2021-12-18 23:14:00,2938265107.1518,4,2.1877141187242168e-11,2.0520580094740326e-11,2.0520580094740326e-11,2.1877141187242168e-11,33.269307889619775
10,2021-12-18 23:15:00,4956319646.5401,9,2.5661402328895048e-11,2.203968879577e-11,2.203968879577e-11,2.5661402328895048e-11,63.214894699841
11,2021-12-18 23:16:00,1147365812.3005,2,2.6321025546448486e-11,2.5837584801322855e-11,2.5837584801322855e-11,2.6321025546448486e-11,16.091281339885935
12,2021-12-18 23:17:00,3410816443.4171,5,2.9569109750866064e-11,2.7315322938541234e-11,2.7315322938541234e-11,2.9569109750866064e-11,51.60144493827663
13,2021-12-18 23:18:00,5276918350.1573,8,3.5242879478492875e-11,3.03980128374325e-11,3.03980128374325e-11,3.5242879478492875e-11,92.78287696485208
14,2021-12-18 23:19:00,1907292253.4925,3,3.704697823230729e-11,3.55966884467519e-11,3.55966884467519e-11,3.704697823230729e-11,36.9180771282271
15,2021-12-18 23:20:00,1553933787.5562,2,3.879089155789617e-11,3.762658829598366e-11,3.762658829598366e-11,3.879089155789617e-11,32.15305459512247
16,2021-12-18 23:21:00,1225975636.9691,1,4.078384471294369e-11,4.078384471294369e-11,4.078384471294369e-11,4.078384471294369e-11,26.80762939453125
17,2021-12-18 23:22:00,2167497410.6929,2,4.4810841730090326e-11,4.2826647444404534e-11,4.2826647444404534e-11,4.4810841730090326e-11,50.83307815367639
18,2021-12-18 23:23:00,1542393425.3815,4,4.783700562710254e-11,4.598325594000754e-11,4.598325594000754e-11,4.783700562710254e-11,39.139138916015625
19,2021-12-18 23:24:00,1027956436.7783,2,5.033365266188618e-11,4.9190947206696064e-11,4.9190947206696064e-11,5.033365266188618e-11,27.6013042073038
20,2021-12-18 23:25:00,2455916179.0731,3,5.625052903102307e-11,5.214881471895188e-11,5.214881471895188e-11,5.625052903102307e-11,71.4432168614372
21,2021-12-18 23:26:00,173345531.1592,1,5.768824805074456e-11,5.768824805074456e-11,5.768824805074456e-11,5.768824805074456e-11,5.36152587890625
22,2021-12-18 23:27:00,845600972.4338,1,5.912954411120238e-11,5.912954411120238e-11,5.912954411120238e-11,5.912954411120238e-11,26.80762939453125
23,2021-12-18 23:29:00,165007875.1832,1,6.060316811483998e-11,6.060316811483998e-11,6.060316811483998e-11,6.060316811483998e-11,5.36152587890625
24,2021-12-18 23:30:00,1014934001.0,2,6.350524757886721e-11,6.191645207479532e-11,6.191645207479532e-11,6.350524757886721e-11,33.960697434620634
25,2021-12-18 23:32:00,155608001.0,1,6.426368366892934e-11,6.426368366892934e-11,6.426368366892934e-11,6.426368366892934e-11,5.36149550726603
26,2021-12-18 23:34:00,154389001.0,1,6.477108840437789e-11,6.477108840437789e-11,6.477108840437789e-11,6.477108840437789e-11,5.36149565729018
27,2021-12-18 23:36:00,1265100000.01,1,6.718834741618977e-11,6.718834741618977e-11,6.718834741618977e-11,6.718834741618977e-11,45.572958345249496
28,2021-12-18 23:40:00,143490000.0,1,6.969092567674001e-11,6.969092567674001e-11,6.969092567674001e-11,6.969092567674001e-11,5.361499567408561
29,2021-12-18 23:43:00,1137917456.0737,2,6.942337552340222e-11,6.740435879963089e-11,6.740435879963089e-11,6.740435879963089e-11,41.2314734069185
30,2021-12-18 23:44:00,3666685136.1083,10,6.544514827135453e-11,5.531398215475894e-11,6.544514827135453e-11,5.531398215475894e-11,117.92856952784382
31,2021-12-18 23:45:00,472395156.0267,2,5.471390627935497e-11,5.4116487849815774e-11,5.471390627935497e-11,5.471390627935497e-11,13.73843211918516
32,2021-12-18 23:46:00,367767001.0,1,5.438220874505274e-11,5.438220874505274e-11,5.438220874505274e-11,5.438220874505274e-11,10.723042009445411
33,2021-12-18 23:47:00,846965399.6589,2,5.4449765017913226e-11,5.3395739047193375e-11,5.3395739047193375e-11,5.3395739047193375e-11,24.303660658097353
34,2021-12-18 23:48:00,2968103157.7918,6,5.2362543352433834e-11,4.6738357553315374e-11,5.1336644247055664e-11,4.756903437138464e-11,78.20950614080611
35,2021-12-18 23:49:00,1831588483.8759,4,4.592241972745577e-11,4.3294397282803014e-11,4.592241972745577e-11,4.3294397282803014e-11,43.48753957492828
36,2021-12-18 23:50:00,232386001.0,1,4.303180207753706e-11,4.303180207753706e-11,4.303180207753706e-11,4.303180207753706e-11,5.361519659869893
