,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-22 16:14:00,4154759317.24,63,4.9430944623504024e-09,3.3349264000711647e-09,3.3418236075219767e-09,4.633649878653514e-09,9122.17954202956
1,2021-12-22 16:15:00,9405495912.44,103,6.90716203724889e-09,4.99014868371847e-09,5.009786116199384e-09,6.316725687519642e-09,29910.947094163883
2,2021-12-22 16:16:00,4784129911.94,55,6.264303334049685e-09,5.0644757584772755e-09,6.1429465010465145e-09,5.283559966671557e-09,14079.329249150529
3,2021-12-22 16:17:00,1753003200.23,41,5.820445938634145e-09,5.162968942011288e-09,5.210997960507978e-09,5.820445938634145e-09,5178.18835324234
4,2021-12-22 16:18:00,1517579873.21,18,5.769095387045113e-09,5.243563309446685e-09,5.625565269108696e-09,5.284078345049039e-09,4554.7946308006785
5,2021-12-22 16:19:00,1895558876.39,45,5.326081042192965e-09,4.7257418843881646e-09,5.2861429145543605e-09,4.895744221099015e-09,5142.786193425963
6,2021-12-22 16:20:00,3078757336.5,24,4.863424874213431e-09,4.526252535176377e-09,4.644497038076366e-09,4.765830463490681e-09,7859.989178862161
7,2021-12-22 16:21:00,738101670.99,18,5.2167177126842115e-09,4.891461248897958e-09,4.891461248897958e-09,5.2167177126842115e-09,2009.03140033995
8,2021-12-22 16:22:00,2325137700.4,20,5.604589898775214e-09,5.00108954349751e-09,5.223077275005941e-09,5.5550483717034355e-09,6629.210261348256
9,2021-12-22 16:23:00,712978110.98,10,5.907887061898249e-09,5.596433905070647e-09,5.596433905070647e-09,5.890230382837456e-09,2227.1767096067015
10,2021-12-22 16:24:00,624932765.47,13,5.920879845113336e-09,5.703588746658918e-09,5.860904280965127e-09,5.708965307274747e-09,1953.038990555764
11,2021-12-22 16:25:00,222914220.8,6,5.858487640893037e-09,5.7236977491137795e-09,5.7236977491137795e-09,5.858487640893037e-09,699.9728302602033
12,2021-12-22 16:26:00,19559410.65,3,5.885401994849943e-09,5.875706756449346e-09,5.875706756449346e-09,5.885401994849943e-09,62.293964233398434
13,2021-12-22 16:27:00,571750062.66,8,5.9210390088699964e-09,5.67708734522641e-09,5.9210390088699964e-09,5.67708734522641e-09,1798.4241170459186
14,2021-12-22 16:28:00,96600387.33,7,5.6800576826329845e-09,5.635899879364541e-09,5.6800576826329845e-09,5.635899879364541e-09,295.702235581407
15,2021-12-22 16:29:00,117188591.97,5,5.672581146211844e-09,5.6101426995352406e-09,5.6101426995352406e-09,5.672581146211844e-09,358.1081023670485
16,2021-12-22 16:30:00,132375731.41,5,5.709315738769586e-09,5.661287842588516e-09,5.687003960948488e-09,5.709315738769586e-09,408.4460355925105
17,2021-12-22 16:31:00,1146567301.07,6,6.266168880236237e-09,5.735140400856407e-09,5.735140400856407e-09,6.075850484519603e-09,3768.505654369574
18,2021-12-22 16:32:00,104248058.24,3,6.149258010426538e-09,6.104441595890225e-09,6.104441595890225e-09,6.149258010426538e-09,346.7720159416435
19,2021-12-22 16:33:00,107216042.6,5,6.217585830408919e-09,6.147649703770384e-09,6.147649703770384e-09,6.209199155356595e-09,360.3083005815943
20,2021-12-22 16:34:00,143006807.3,1,6.293406705542191e-09,6.293406705542191e-09,6.293406705542191e-09,6.293406705542191e-09,487.5179809570313
21,2021-12-22 16:35:00,387106824.31,7,6.577399266817456e-09,6.311515825025168e-09,6.311515825025168e-09,6.577399266817456e-09,1358.718769498962
22,2021-12-22 16:36:00,60045890.41,3,6.680277058610081e-09,6.642846592356042e-09,6.642846592356042e-09,6.680277058610081e-09,216.67306959346394
23,2021-12-22 16:37:00,549813333.34,5,6.615384691147745e-09,6.2324497386571984e-09,6.615384691147745e-09,6.2324497386571984e-09,1916.2274053684127
24,2021-12-22 16:38:00,51637004.37,4,6.28592848142126e-09,6.225180565222176e-09,6.225180565222176e-09,6.28592848142126e-09,175.4170734228888
25,2021-12-22 16:39:00,167665673.13,8,6.404657863336226e-09,6.298041380928202e-09,6.298041380928202e-09,6.404657863336226e-09,577.3130576716351
26,2021-12-22 16:40:00,113079783.58,3,6.50529692820969e-09,6.454137151227198e-09,6.454137151227198e-09,6.50529692820969e-09,396.09518535990424
27,2021-12-22 16:41:00,1179833906.58,6,7.388375935543706e-09,6.5123427812692775e-09,6.5123427812692775e-09,7.375117995942476e-09,4479.868423531395
28,2021-12-22 16:42:00,315052224.7,10,7.379706685152145e-09,7.182788887815285e-09,7.3021329984658554e-09,7.182788887815285e-09,1236.2435916746572
29,2021-12-22 16:43:00,227517592.87,2,7.326308622462147e-09,7.218593053031085e-09,7.218593053031085e-09,7.326308622462147e-09,899.1998315429687
30,2021-12-22 16:44:00,151366263.52,4,7.552115530333634e-09,7.408529290176265e-09,7.408529290176265e-09,7.552115530333634e-09,613.2565657196723
31,2021-12-22 16:45:00,99719872.28,2,7.621941118116451e-09,7.571584886178537e-09,7.571584886178537e-09,7.621941118116451e-09,410.78311172972985
32,2021-12-22 16:46:00,9476948.14,4,7.66503197084835e-09,7.656342475058992e-09,7.656342475058992e-09,7.66503197084835e-09,39.32382962878856
33,2021-12-22 16:47:00,12383703.16,2,7.67605062012725e-09,7.669700567017123e-09,7.669700567017123e-09,7.67605062012725e-09,51.46021860934917
34,2021-12-22 16:48:00,13141761.89,3,7.691157568437458e-09,7.682394490858331e-09,7.682394490858331e-09,7.691157568437458e-09,54.703538358018676
35,2021-12-22 16:49:00,121937403.37,3,7.69506423422891e-09,7.55618055974376e-09,7.69506423422891e-09,7.613945013049512e-09,502.53010865696194
36,2021-12-22 16:51:00,12651315.74,2,7.592050876142865e-09,7.58567689722223e-09,7.58567689722223e-09,7.592050876142865e-09,52.00775275000744
37,2021-12-22 16:53:00,27879896.56,3,7.57248763791393e-09,7.53215738406633e-09,7.546061811222862e-09,7.53215738406633e-09,113.9239180459378
38,2021-12-22 16:54:00,94265386.66,2,7.528106217071362e-09,7.481521110889363e-09,7.528106217071362e-09,7.481521110889363e-09,382.10103714693685
39,2021-12-22 16:56:00,561357668.03,5,7.363157813782521e-09,6.9955679276863065e-09,7.363157813782521e-09,7.069707620743951e-09,2186.3438232640488
40,2021-12-22 16:57:00,412254949.65,5,7.033013678306112e-09,6.734218847011965e-09,6.892001602299163e-09,6.734218847011965e-09,1539.1577761595513
41,2021-12-22 16:58:00,160066666.67,2,6.6769068717373305e-09,6.610899366265467e-09,6.6769068717373305e-09,6.610899366265467e-09,576.4820568657474
