,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-19 20:00:00,664073977.6257913,19,4.38792937642065e-09,4.17736251768878e-09,4.17736251768878e-09,4.374102712428284e-09,1668.8515231242304
1,2021-11-19 20:01:00,715687104.6795894,16,4.648397048791796e-09,4.388464579806469e-09,4.38909953052595e-09,4.648397048791796e-09,1899.276680804543
2,2021-11-19 20:02:00,93868104.57568797,19,4.684155576266835e-09,4.628963288181365e-09,4.630019030492626e-09,4.684155576266835e-09,255.606908266373
3,2021-11-19 20:03:00,376158677.2061476,11,4.661615597094641e-09,4.489029132720053e-09,4.650373606959206e-09,4.494911104824136e-09,1003.8209872002649
4,2021-11-19 20:04:00,821249752.3617862,12,4.505636678316919e-09,4.1618401669272866e-09,4.4827355056452335e-09,4.1924676873260534e-09,2067.9846243045345
5,2021-11-19 20:05:00,59821901.81219969,5,4.2108846477531956e-09,4.180867775153998e-09,4.180867775153998e-09,4.2108846477531956e-09,146.81672684210443
6,2021-11-19 20:06:00,100323205.205739,9,4.2299458545235776e-09,4.197758101363926e-09,4.197758101363926e-09,4.218063132976967e-09,247.15597336416425
7,2021-11-19 20:07:00,98050510.63511509,7,4.250899314655271e-09,4.228206306665409e-09,4.228206306665409e-09,4.250899314655271e-09,242.62965192431915
8,2021-11-19 20:08:00,2000000.0,1,4.251659232886582e-09,4.251659232886582e-09,4.251659232886582e-09,4.251659232886582e-09,4.962849925852876
9,2021-11-19 20:09:00,578082740.8584464,5,4.228690917970408e-09,4.1070928933772874e-09,4.228690917970408e-09,4.1070928933772874e-09,1386.6529980315734
10,2021-11-19 20:10:00,184228487.4045971,6,4.012271877339651e-09,3.937676501045512e-09,4.012271877339651e-09,3.937676501045512e-09,425.50940878224725
11,2021-11-19 20:11:00,51936142.0716733,5,3.9530608191338765e-09,3.923001218330446e-09,3.924433745079767e-09,3.9530608191338765e-09,119.48679982042079
12,2021-11-19 20:12:00,42727089.876854815,6,3.955882766854096e-09,3.933107137970381e-09,3.935669324888528e-09,3.933107137970381e-09,98.45149612174676
13,2021-11-19 20:13:00,38096364.23669527,4,3.940498327879483e-09,3.93255972804915e-09,3.940498327879483e-09,3.93255972804915e-09,87.4631176045784
14,2021-11-19 20:14:00,795344776.0130724,5,3.934089293576359e-09,3.870725642098882e-09,3.925763506425856e-09,3.934089293576359e-09,1815.7513925024093
15,2021-11-19 20:15:00,125467545.5799718,3,4.001539355330526e-09,3.975935418260088e-09,3.988683479312616e-09,3.988683479312616e-09,292.0849848955563
16,2021-11-19 20:17:00,52519100.10500204,4,3.955410292140694e-09,3.944366718434608e-09,3.955410292140694e-09,3.945185337859933e-09,121.19282505445551
17,2021-11-19 20:18:00,7560371.0,1,3.964868954832243e-09,3.964868954832243e-09,3.964868954832243e-09,3.964868954832243e-09,17.49502805862236
18,2021-11-19 20:19:00,15660323.445780683,2,3.969581138409636e-09,3.96651917288904e-09,3.96651917288904e-09,3.969581138409636e-09,36.28018272665771
19,2021-11-19 20:20:00,22326460.779106297,2,3.98108346154252e-09,3.976692137714752e-09,3.976692137714752e-09,3.976692137714752e-09,51.82063123244189
20,2021-11-19 20:21:00,6604904.294848876,3,3.9607469382590185e-09,3.959413773137506e-09,3.9607469382590185e-09,3.9607469382590185e-09,15.26557672347062
21,2021-11-19 20:22:00,22347280.175000176,1,3.9830498075365585e-09,3.9830498075365585e-09,3.9830498075365585e-09,3.9830498075365585e-09,51.94970780157348
