,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-01 12:04:00,379471230665282.5,17,1.2116301488258226e-12,1.0013543859649122e-13,3.7147617110889995e-13,1.2116301488258226e-12,58926.9230470337
1,2021-11-01 12:16:00,43080409085736.39,11,2.811144038952919e-12,1.283687737891628e-12,1.283687737891628e-12,1.283687737891628e-12,43274.54729577636
2,2021-11-01 12:18:00,228081323484.0176,1,2.9464152510807874e-12,2.9464152510807874e-12,2.9464152510807874e-12,2.9464152510807874e-12,357.80236192353334
3,2021-11-01 12:19:00,224377789412.97742,1,2.9637514557024072e-12,2.9637514557024072e-12,2.9637514557024072e-12,2.9637514557024072e-12,354.06350982666015
4,2021-11-01 12:33:00,67226722042.36386,1,2.9750074661377537e-12,2.9750074661377537e-12,2.9750074661377537e-12,2.9750074661377537e-12,106.48526611328124
5,2021-11-01 12:47:00,632529758.9944879,1,2.9776382757740214e-12,2.9776382757740214e-12,2.9776382757740214e-12,2.9776382757740214e-12,1.002795614841701
6,2021-11-01 12:49:00,3358192000.4231486,1,2.977792811947605e-12,2.977792811947605e-12,2.977792811947605e-12,2.977792811947605e-12,5.324263305664062
7,2021-11-01 13:28:00,3357898450.990474,1,2.9780531323245692e-12,2.9780531323245692e-12,2.9780531323245692e-12,2.9780531323245692e-12,5.32076171875
8,2021-11-01 13:31:00,33562864272.317417,1,2.9794834907007565e-12,2.9794834907007565e-12,2.9794834907007565e-12,2.9794834907007565e-12,53.2076171875
9,2021-11-01 13:46:00,32527970663.06913,1,2.9820489265913432e-12,2.9820489265913432e-12,2.9820489265913432e-12,2.9820489265913432e-12,51.611388671875
10,2021-11-01 14:08:00,14317939020.352903,1,2.9838700904696955e-12,2.9838700904696955e-12,2.9838700904696955e-12,2.9838700904696955e-12,22.882480255634153
11,2021-11-01 17:00:00,66956134662.97103,1,2.9870302550575198e-12,2.9870302550575198e-12,2.9870302550575198e-12,2.9870302550575198e-12,107.93990478515624
12,2021-11-01 17:07:00,33434256208.538387,1,2.9909443588717296e-12,2.9909443588717296e-12,2.9909443588717296e-12,2.9909443588717296e-12,53.96995239257812
13,2021-11-01 18:11:00,1515705330763.6794,1,3.052541593073923e-12,3.052541593073923e-12,3.052541593073923e-12,3.052541593073923e-12,2489.241142661924
14,2021-11-01 18:26:00,64167140172.46758,1,3.116860116602402e-12,3.116860116602402e-12,3.116860116602402e-12,3.116860116602402e-12,107.60206298828125
15,2021-11-01 19:44:00,604170633829.4728,1,3.144806936340231e-12,3.144806936340231e-12,3.144806936340231e-12,3.144806936340231e-12,1020.716552734375
