,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-18 23:43:00,121441634743.3496,6,9.138900347214307e-13,9.089779241493809e-13,9.125276583102278e-13,9.089779241493809e-13,59.378922421385525
1,2021-12-18 23:44:00,10947690587.257807,1,9.134346573184267e-13,9.134346573184267e-13,9.134346573184267e-13,9.134346573184267e-13,5.36152587890625
2,2021-12-18 23:45:00,49231244179.911865,3,9.144480169885517e-13,9.138284454172937e-13,9.138284454172937e-13,9.144480169885517e-13,24.126866455078126
3,2021-12-18 23:46:00,64836923900.39141,4,9.156723156504258e-13,9.146732842097325e-13,9.146732842097325e-13,9.156723156504258e-13,31.81563159195982
4,2021-12-18 23:47:00,85791204303.27892,2,9.173010698886221e-13,9.164138547428157e-13,9.164138547428157e-13,9.173010698886221e-13,42.16947481029855
5,2021-12-18 23:48:00,32679382478.328255,1,9.180100027867687e-13,9.180100027867687e-13,9.180100027867687e-13,9.180100027867687e-13,16.08457763671875
6,2021-12-18 23:52:00,10506908568852.145,16,1.130781528452091e-12,9.23083479389976e-13,9.23083479389976e-13,1.130781528452091e-12,5869.1311119270595
7,2021-12-18 23:53:00,8915253266520.482,12,1.5031728224828667e-12,1.2153038538026229e-12,1.2153038538026229e-12,1.4938976776531253e-12,6377.955749885166
8,2021-12-18 23:54:00,1746026100628.1301,8,1.5847254998884236e-12,1.5331913064540707e-12,1.5331913064540707e-12,1.5847254998884236e-12,1446.5417029303007
9,2021-12-18 23:55:00,1467395417725.9795,7,1.6561030957907672e-12,1.5867262261618173e-12,1.5867262261618173e-12,1.6561030957907672e-12,1274.9112043193763
10,2021-12-18 23:56:00,377628459261.5313,2,1.6706272982333512e-12,1.6610681528409432e-12,1.6610681528409432e-12,1.6706272982333512e-12,337.32038305562236
11,2021-12-18 23:57:00,316748166303.94525,4,1.690752884022625e-12,1.6768337461973013e-12,1.6768337461973013e-12,1.690752884022625e-12,285.9475230261799
12,2021-12-18 23:58:00,143502151465.50934,4,1.6982112577388048e-12,1.692098409396615e-12,1.692098409396615e-12,1.6982112577388048e-12,130.4632709411399
13,2021-12-18 23:59:00,693219833690.7169,3,1.7206205824105624e-12,1.7006437645372122e-12,1.7006437645372122e-12,1.7206205824105624e-12,638.4072516496603
14,2021-12-19 00:00:00,278948430473.98083,3,1.7495600125892671e-12,1.7373362325171328e-12,1.7373362325171328e-12,1.7495600125892671e-12,259.9230989414725
15,2021-12-19 00:01:00,369701017443.661,2,1.7716070495301603e-12,1.7613901945152795e-12,1.7613901945152795e-12,1.7716070495301603e-12,347.9858699787005
16,2021-12-19 00:03:00,56395509185.948204,1,1.7731908345800788e-12,1.7731908345800788e-12,1.7731908345800788e-12,1.7731908345800788e-12,53.43807373046875
17,2021-12-19 00:06:00,100000000.0,1,1.7747639646679399e-12,1.7747639646679399e-12,1.7747639646679399e-12,1.7747639646679399e-12,0.09483996759810441
18,2021-12-19 00:07:00,2817147296.9950314,1,1.7748450730046504e-12,1.7748450730046504e-12,1.7748450730046504e-12,1.7748450730046504e-12,2.6719036865234376
19,2021-12-19 00:08:00,3943588101.65259,1,1.7750332487986252e-12,1.7750332487986252e-12,1.7750332487986252e-12,1.7750332487986252e-12,3.7406651611328123
20,2021-12-19 00:09:00,1767826145136.0476,3,1.876223458619459e-12,1.8171910650151649e-12,1.8171910650151649e-12,1.876223458619459e-12,1724.7470993438926
21,2021-12-19 00:10:00,2003912372687.4297,3,1.972016428958822e-12,1.8781609541904516e-12,1.8781609541904516e-12,1.972016428958822e-12,2078.023233798512
22,2021-12-19 00:11:00,673027638824.1989,3,2.0455973082009325e-12,2.0179864526360295e-12,2.0179864526360295e-12,2.0455973082009325e-12,729.4276937839788
