,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-23 23:56:00,10000000000.0,1,1.45738942422567e-11,1.45738942422567e-11,1.45738942422567e-11,1.45738942422567e-11,80.25396308598886
1,2021-12-23 23:57:00,39808416316.84096,6,1.747282364467327e-11,1.5690244116453034e-11,1.673182159860721e-11,1.7019138121474588e-11,365.65402214978167
2,2021-12-23 23:58:00,47919017279.24952,12,1.801629151940928e-11,1.4489544480563568e-11,1.801629151940928e-11,1.4724381722186688e-11,429.97563332027806
3,2021-12-23 23:59:00,63866599373.59748,12,1.4451445136016783e-11,1.116142932268448e-11,1.2879796803781804e-11,1.1511213491967908e-11,451.9226802310237
4,2021-12-24 00:00:00,13865928297.41761,3,1.1386081649003117e-11,1.1172331644553496e-11,1.1172331644553496e-11,1.1172331644553496e-11,86.22625521307373
5,2021-12-24 00:01:00,9038183303.232597,1,1.1525514549714842e-11,1.1525514549714842e-11,1.1525514549714842e-11,1.1525514549714842e-11,57.10785987700621
6,2021-12-24 00:03:00,9789705337.802073,2,1.2325198438054759e-11,1.1931425057019165e-11,1.1931425057019165e-11,1.2325198438054759e-11,65.78633056640625
7,2021-12-24 00:04:00,2788740588.1032495,1,1.2783146221238601e-11,1.2783146221238601e-11,1.2783146221238601e-11,1.2783146221238601e-11,19.543407659934765
8,2021-12-24 00:05:00,789728398.909873,1,1.2939478736485491e-11,1.2939478736485491e-11,1.2939478736485491e-11,1.2939478736485491e-11,5.602075451841755
9,2021-12-24 00:07:00,8842501684.345524,1,1.3377908452699568e-11,1.3377908452699568e-11,1.3377908452699568e-11,1.3377908452699568e-11,64.85116583084009
10,2021-12-24 00:08:00,19304637642.486374,2,1.5331820307138466e-11,1.428964822613265e-11,1.428964822613265e-11,1.5331820307138466e-11,156.63578704957627
11,2021-12-24 00:09:00,16797796844.46422,4,1.603714243354536e-11,1.473647513174328e-11,1.603714243354536e-11,1.473647513174328e-11,141.95133869305593
12,2021-12-24 00:10:00,320350000.0,1,1.480774754236024e-11,1.480774754236024e-11,1.480774754236024e-11,1.480774754236024e-11,2.6005675958846677
13,2021-12-24 00:12:00,3694480013.40421,2,1.513859039689518e-11,1.493443757400833e-11,1.513859039689518e-11,1.513859039689518e-11,30.436669642878343
14,2021-12-24 00:13:00,10110774140.116943,3,1.6247611383167824e-11,1.5602632225355235e-11,1.5602632225355235e-11,1.6247611383167824e-11,87.71510742187499
15,2021-12-24 00:16:00,1317363387.874422,1,1.6523569789333222e-11,1.6523569789333222e-11,1.6523569789333222e-11,1.6523569789333222e-11,11.933391405947491
16,2021-12-24 00:17:00,5989386386.248662,2,1.739650284984483e-11,1.6993556531602638e-11,1.6993556531602638e-11,1.739650284984483e-11,55.82145915256776
17,2021-12-24 00:18:00,5835206421.085289,3,1.8113932920112694e-11,1.7623682969183787e-11,1.7623682969183787e-11,1.8113932920112694e-11,56.98828585588825
18,2021-12-24 00:19:00,1037553214.6120412,1,1.8312313751641574e-11,1.8312313751641574e-11,1.8312313751641574e-11,1.8312313751641574e-11,10.416169006347657
19,2021-12-24 00:20:00,5563804478.006535,2,1.7934691225173917e-11,1.753866723928723e-11,1.753866723928723e-11,1.753866723928723e-11,54.58173171495375
20,2021-12-24 00:21:00,13206000000.0,2,1.7159666262019766e-11,1.6306151727401623e-11,1.6306151727401623e-11,1.6306151727401623e-11,120.39260997448793
21,2021-12-24 00:22:00,9999167635.960281,2,1.5509645013544713e-11,1.4946609558515786e-11,1.4946609558515786e-11,1.4946609558515786e-11,83.47673088655102
22,2021-12-24 00:23:00,2019154322.2957072,1,1.4857705361465915e-11,1.4857705361465915e-11,1.4857705361465915e-11,1.4857705361465915e-11,16.446582641601562
23,2021-12-24 00:24:00,6521450238.069056,1,1.533401258147285e-11,1.533401258147285e-11,1.533401258147285e-11,1.533401258147285e-11,54.82194213867187
24,2021-12-24 00:28:00,20175440000.0,4,1.534454171496311e-11,1.3707917857570445e-11,1.534454171496311e-11,1.3707917857570445e-11,160.74794044887588
25,2021-12-24 00:33:00,2930000000.0,2,1.3845630667719096e-11,1.3703842648458716e-11,1.3703842648458716e-11,1.3845630667719096e-11,22.03789938655204
