,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-01 16:00:00,1588428763.212394,17,2.622373816892972e-09,2.510517364840673e-09,2.510517364840673e-09,2.622373816892972e-09,2185.38592066805
1,2021-11-01 16:01:00,4547440492.197343,37,2.721603818236639e-09,2.535748401671407e-09,2.6253587771681555e-09,2.721603818236639e-09,6366.441327233055
2,2021-11-01 16:02:00,945664687.1352416,10,2.8008066176482505e-09,2.7245617242903494e-09,2.726592653410995e-09,2.8008066176482505e-09,1401.3491373168376
3,2021-11-01 16:03:00,1396143379.0042546,12,2.8936416270066244e-09,2.7961910275771246e-09,2.8035556361668403e-09,2.882647237244996e-09,2130.57561547453
4,2021-11-01 16:04:00,232570850.8078367,8,2.9103172145947647e-09,2.8945485267654392e-09,2.896429377741127e-09,2.9082189657640472e-09,362.10537459198383
5,2021-11-01 16:05:00,216838358.98857886,7,2.9260927970432254e-09,2.908929508775251e-09,2.908929508775251e-09,2.9260927970432254e-09,339.50420165944223
6,2021-11-01 16:06:00,2522580795.625523,12,3.008535498675317e-09,2.902291882793099e-09,2.915614290007359e-09,2.903948861624472e-09,3990.9581923876467
7,2021-11-01 16:07:00,2126473158.302754,13,2.9113040499708337e-09,2.7609247542260164e-09,2.9075725386299075e-09,2.7609247542260164e-09,3218.6269962738743
8,2021-11-01 16:08:00,1906446431.3015265,19,2.824816415877561e-09,2.7701343959767713e-09,2.7701343959767713e-09,2.775310265483452e-09,2861.6245824019015
9,2021-11-01 16:09:00,206061523.759339,5,2.7723134820161457e-09,2.7434924803110475e-09,2.7723134820161457e-09,2.7434924803110475e-09,304.0970915115202
10,2021-11-01 16:10:00,149676875.08352223,7,2.757418430936342e-09,2.741374325444337e-09,2.741374325444337e-09,2.754926426916337e-09,220.80162756738218
11,2021-11-01 16:11:00,2241487604.844924,8,2.696133265812291e-09,2.5954076493895952e-09,2.6693165275106393e-09,2.5954076493895952e-09,3206.899332106094
12,2021-11-01 16:12:00,1855629572.4354675,13,2.5914257527411975e-09,2.485333011285665e-09,2.5914257527411975e-09,2.485333011285665e-09,2522.847026637796
13,2021-11-01 16:13:00,1567880033.7841842,9,2.4724549594965405e-09,2.381680151455639e-09,2.4724549594965405e-09,2.381680151455639e-09,2046.8241928498924
14,2021-11-01 16:14:00,1323253984.9863288,8,2.3762135040294837e-09,2.3092752657442475e-09,2.3762135040294837e-09,2.3092752657442475e-09,1666.9159432778895
15,2021-11-01 16:15:00,2349132013.911172,15,2.3265115851072212e-09,2.207312395972841e-09,2.3217727537715614e-09,2.207534153663867e-09,2853.762515719065
16,2021-11-01 16:16:00,342425616.8610695,7,2.201901507297783e-09,2.1879775562697955e-09,2.1907806819936623e-09,2.197829488021189e-09,403.0494488875462
17,2021-11-01 16:17:00,1263174415.9839828,9,2.199610193188152e-09,2.1301762913929978e-09,2.199610193188152e-09,2.1301762913929978e-09,1462.6086679932266
18,2021-11-01 16:18:00,933658682.6011158,7,2.1439165747820076e-09,2.119300528688413e-09,2.119300528688413e-09,2.125016600678834e-09,1070.4485690622992
19,2021-11-01 16:19:00,119469486.96792954,2,2.1202725477562657e-09,2.116984820092569e-09,2.1202725477562657e-09,2.116984820092569e-09,135.8536038656132
20,2021-11-01 16:20:00,246693716.1360233,6,2.138976663592851e-09,2.1273506506180705e-09,2.1273506506180705e-09,2.138976663592851e-09,282.4018494347646
21,2021-11-01 16:21:00,170670178.21486992,3,2.1414558441881327e-09,2.1296640167355362e-09,2.1414558441881327e-09,2.139371733969496e-09,195.54012343065793
22,2021-11-01 16:22:00,1422763794.6967435,8,2.1953857388833176e-09,2.127385678034916e-09,2.1484600162440916e-09,2.1953857388833176e-09,1651.372709214285
23,2021-11-01 16:23:00,958986824.5906042,9,2.249208323892843e-09,2.207700871793014e-09,2.207700871793014e-09,2.249208323892843e-09,1146.7844509485267
24,2021-11-01 16:24:00,501741128.6600679,6,2.285214644698208e-09,2.259933991391195e-09,2.259933991391195e-09,2.282401520917254e-09,611.8194175912114
25,2021-11-01 16:25:00,531570398.0134823,5,2.318094852091036e-09,2.2892631140386502e-09,2.2892631140386502e-09,2.3056470658384305e-09,656.982354842614
26,2021-11-01 16:26:00,169452453.52030835,4,2.3252593526426957e-09,2.3172879386920863e-09,2.3172879386920863e-09,2.3252593526426957e-09,211.0608151825763
27,2021-11-01 16:27:00,93312390.13332142,4,2.331175258809156e-09,2.3270968279974033e-09,2.3270968279974033e-09,2.331175258809156e-09,116.64085450583363
28,2021-11-01 16:28:00,343725518.0296268,4,2.3512377711129103e-09,2.3327432458716108e-09,2.3327432458716108e-09,2.3512377711129103e-09,432.2268024579013
29,2021-11-01 16:29:00,930801898.2599995,5,2.414593707718036e-09,2.379953225207799e-09,2.379953225207799e-09,2.414593707718036e-09,1191.128129012468
30,2021-11-01 16:30:00,89647551.35127194,2,2.4214140042591044e-09,2.41840223291195e-09,2.41840223291195e-09,2.4214140042591044e-09,116.3459023953809
31,2021-11-01 16:31:00,1029636693.1404719,5,2.424463930250452e-09,2.356281808049772e-09,2.424463930250452e-09,2.356281808049772e-09,1318.9112976467093
32,2021-11-01 16:32:00,470958396.3876772,3,2.3957496321684903e-09,2.3798113543088974e-09,2.3798113543088974e-09,2.3957496321684903e-09,601.8153485733379
33,2021-11-01 16:33:00,7683076.014296053,1,2.3971972409931507e-09,2.3971972409931507e-09,2.3971972409931507e-09,2.3971972409931507e-09,9.882645032777669
34,2021-11-01 16:36:00,15012844.16035402,1,2.397946692544038e-09,2.397946692544038e-09,2.397946692544038e-09,2.397946692544038e-09,19.316871826171877
35,2021-11-01 16:37:00,42829300.043956265,2,2.401020540254837e-09,2.399602296574736e-09,2.399602296574736e-09,2.401020540254837e-09,55.151956914916255
