,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-22 16:00:00,10619538916.260948,41,3.045327955892974e-09,2.8946729067566875e-09,2.8946729067566875e-09,3.0208399137252764e-09,17053.37948494563
1,2021-12-22 16:01:00,9029867665.860699,42,3.2350324749237585e-09,3.062860842650132e-09,3.062860842650132e-09,3.193402496557874e-09,15293.216719012536
2,2021-12-22 16:02:00,14309190093.084728,28,3.5962565381063144e-09,3.271427211401224e-09,3.381431137084305e-09,3.5111311647707624e-09,26461.092114275176
3,2021-12-22 16:03:00,6827997153.563722,64,3.6066983747251356e-09,3.4803215598200652e-09,3.509074985358174e-09,3.5994246874238146e-09,13136.189455186739
4,2021-12-22 16:04:00,4173413338.963383,42,3.748153151278578e-09,3.597153395183996e-09,3.597153395183996e-09,3.727262290323228e-09,8314.449882215527
5,2021-12-22 16:05:00,7861580574.215614,49,3.915303206074885e-09,3.734313854502303e-09,3.73639116119961e-09,3.8987801206515765e-09,16271.979848348717
6,2021-12-22 16:06:00,1896308244.5984383,26,3.962601158503517e-09,3.897711562165832e-09,3.897711562165832e-09,3.962601158503517e-09,4043.2343892946637
7,2021-12-22 16:07:00,4107209692.0172524,30,4.057014467086766e-09,3.9493122309122935e-09,3.96552273999867e-09,3.975538078243152e-09,8940.006693228404
8,2021-12-22 16:08:00,4040639898.775646,44,3.994929477594296e-09,3.82683824481032e-09,3.989600862543684e-09,3.82683824481032e-09,8539.0112156962
9,2021-12-22 16:09:00,7072848701.772868,43,3.978465386876149e-09,3.80879815579493e-09,3.827958071106519e-09,3.8596928517127e-09,14990.51850686369
10,2021-12-22 16:10:00,2778547919.0109415,24,3.906878233722984e-09,3.820941355783473e-09,3.878834413676093e-09,3.881036668905468e-09,5806.102287628883
11,2021-12-22 16:11:00,11380376162.980595,68,3.955844054868046e-09,3.7921807442901e-09,3.894367326176041e-09,3.840648846775161e-09,23980.53782588876
12,2021-12-22 16:12:00,14867118237.177826,74,3.816568061130563e-09,3.4742568011417555e-09,3.7423833087554324e-09,3.4779620007068466e-09,29579.22320975836
13,2021-12-22 16:13:00,3231829708.9455023,34,3.4732950685092685e-09,3.345812296797052e-09,3.472466131219838e-09,3.3656217582357795e-09,5961.370641633716
14,2021-12-22 16:14:00,6402827459.104371,46,3.3910522827385717e-09,3.3156420316480508e-09,3.3488082765322222e-09,3.3314617961580692e-09,11627.015053378991
15,2021-12-22 16:15:00,3972177518.672459,33,3.34820584775703e-09,3.2716601445433313e-09,3.34820584775703e-09,3.2797596285088407e-09,7105.537212435726
16,2021-12-22 16:16:00,2273415940.024987,19,3.2898666137626427e-09,3.2087683398079803e-09,3.272234020947582e-09,3.220863484092344e-09,3981.439651919169
17,2021-12-22 16:17:00,2860428234.676775,28,3.2078821510227254e-09,3.114378441448789e-09,3.1947014425051623e-09,3.130877151972465e-09,4903.821697826537
18,2021-12-22 16:18:00,3184557329.31276,23,3.1279590618932464e-09,3.0582020518015575e-09,3.1161340377504355e-09,3.0582020518015575e-09,5328.062118149882
19,2021-12-22 16:19:00,2676058876.239027,26,3.0701291209617615e-09,2.97605858605657e-09,3.0701291209617615e-09,2.97605858605657e-09,4369.906238670406
20,2021-12-22 16:20:00,5401801753.827648,36,2.991426029266539e-09,2.8158111288210946e-09,2.977417044066142e-09,2.8158111288210946e-09,8464.248787489609
21,2021-12-22 16:21:00,1419983881.4083655,19,2.821851774685609e-09,2.7843724178248004e-09,2.8209538960185802e-09,2.8044394853294246e-09,2151.835476436062
22,2021-12-22 16:22:00,1310922981.0669808,24,2.82832833320068e-09,2.793483035825793e-09,2.793483035825793e-09,2.82832833320068e-09,1997.3219599912663
23,2021-12-22 16:23:00,3166574131.619999,30,2.9203919185690197e-09,2.8344610683208045e-09,2.8344610683208045e-09,2.9203919185690197e-09,4926.095055509072
24,2021-12-22 16:24:00,1959608701.0922115,22,2.9702147780297236e-09,2.932508417465735e-09,2.9355864430381215e-09,2.955551608963223e-09,3126.76052184549
25,2021-12-22 16:25:00,1835440992.490554,19,3.0218929494726656e-09,2.9703254204877076e-09,2.9715493036159025e-09,3.0218929494726656e-09,2981.6098579604886
26,2021-12-22 16:26:00,1366169437.1717465,13,3.0707504955090687e-09,3.0283427670420547e-09,3.0283427670420547e-09,3.0707504955090687e-09,2256.700779449821
27,2021-12-22 16:27:00,832007663.3588307,8,3.0996265226240905e-09,3.05512904514164e-09,3.05512904514164e-09,3.0996265226240905e-09,1389.5182230524247
28,2021-12-22 16:28:00,3020627311.2347646,19,3.15084944408737e-09,3.0681957052705733e-09,3.1000028517927818e-09,3.15084944408737e-09,5079.740782362851
